RFC Accuracy,KNC Accuracy, Network_size
0.875,0.75, 5
0.7857142857142857,0.7142857142857143, 10
0.8113207547169812,0.7169811320754716, 15
0.746031746031746,0.6507936507936508, 20
0.8,0.7384615384615385, 25
0.6060606060606061,0.5757575757575758, 30
0.8,0.6428571428571429, 35
0.8169014084507042,0.704225352112676, 40
0.7083333333333334,0.7222222222222222, 45
0.8,0.7428571428571429, 50
0.7887323943661971,0.6901408450704225, 55
0.8082191780821918,0.821917808219178, 60
0.8082191780821918,0.7671232876712328, 65
0.8933333333333333,0.7733333333333333, 70
0.8133333333333334,0.7866666666666666, 75
0.8533333333333334,0.7733333333333333, 80
0.7333333333333333,0.6666666666666666, 85
0.7333333333333333,0.6666666666666666, 90
0.7333333333333333,0.6666666666666666, 95
0.7466666666666667,0.7733333333333333, 100
